name	station	date	rain_mm
Oslo - Blindern	SN18700	24.01.1938	0
Oslo - Blindern	SN18700	25.01.1938	1,9
Oslo - Blindern	SN18700	26.01.1938	0
Oslo - Blindern	SN18700	27.01.1938	0
Oslo - Blindern	SN18700	28.01.1938	0
Oslo - Blindern	SN18700	29.01.1938	5,8
Oslo - Blindern	SN18700	30.01.1938	1,3
Oslo - Blindern	SN18700	31.01.1938	0
Oslo - Blindern	SN18700	01.02.1938	8,8
Oslo - Blindern	SN18700	02.02.1938	1,2
Oslo - Blindern	SN18700	03.02.1938	0
Oslo - Blindern	SN18700	04.02.1938	0
Oslo - Blindern	SN18700	05.02.1938	0
Oslo - Blindern	SN18700	06.02.1938	0
Oslo - Blindern	SN18700	07.02.1938	0
Oslo - Blindern	SN18700	08.02.1938	0
Oslo - Blindern	SN18700	09.02.1938	0
Oslo - Blindern	SN18700	10.02.1938	4,5
Oslo - Blindern	SN18700	11.02.1938	0
Oslo - Blindern	SN18700	12.02.1938	0
Oslo - Blindern	SN18700	13.02.1938	0
Oslo - Blindern	SN18700	14.02.1938	0
Oslo - Blindern	SN18700	15.02.1938	0
Oslo - Blindern	SN18700	16.02.1938	0
Oslo - Blindern	SN18700	17.02.1938	0
Oslo - Blindern	SN18700	18.02.1938	0
Oslo - Blindern	SN18700	19.02.1938	0
Oslo - Blindern	SN18700	20.02.1938	0
Oslo - Blindern	SN18700	21.02.1938	0
Oslo - Blindern	SN18700	22.02.1938	0
Oslo - Blindern	SN18700	23.02.1938	0
Oslo - Blindern	SN18700	24.02.1938	0
Oslo - Blindern	SN18700	25.02.1938	0
Oslo - Blindern	SN18700	26.02.1938	1,4
Oslo - Blindern	SN18700	27.02.1938	1,3
Oslo - Blindern	SN18700	28.02.1938	0,9
Oslo - Blindern	SN18700	01.03.1938	1,6
Oslo - Blindern	SN18700	02.03.1938	0
Oslo - Blindern	SN18700	03.03.1938	0
Oslo - Blindern	SN18700	04.03.1938	0
Oslo - Blindern	SN18700	05.03.1938	0,2
Oslo - Blindern	SN18700	06.03.1938	0
Oslo - Blindern	SN18700	07.03.1938	0
Oslo - Blindern	SN18700	08.03.1938	0
Oslo - Blindern	SN18700	09.03.1938	0
Oslo - Blindern	SN18700	10.03.1938	0
Oslo - Blindern	SN18700	11.03.1938	0
Oslo - Blindern	SN18700	12.03.1938	0
Oslo - Blindern	SN18700	13.03.1938	0
Oslo - Blindern	SN18700	14.03.1938	0
Oslo - Blindern	SN18700	15.03.1938	0
Oslo - Blindern	SN18700	16.03.1938	0
Oslo - Blindern	SN18700	17.03.1938	0,8
Oslo - Blindern	SN18700	18.03.1938	0
Oslo - Blindern	SN18700	19.03.1938	0
Oslo - Blindern	SN18700	20.03.1938	0
Oslo - Blindern	SN18700	21.03.1938	0
Oslo - Blindern	SN18700	22.03.1938	0
Oslo - Blindern	SN18700	23.03.1938	0
Oslo - Blindern	SN18700	24.03.1938	0
Oslo - Blindern	SN18700	25.03.1938	0
Oslo - Blindern	SN18700	26.03.1938	0
Oslo - Blindern	SN18700	27.03.1938	0,2
Oslo - Blindern	SN18700	28.03.1938	0
Oslo - Blindern	SN18700	29.03.1938	1,7
Oslo - Blindern	SN18700	30.03.1938	0
Oslo - Blindern	SN18700	31.03.1938	2,3
Oslo - Blindern	SN18700	01.04.1938	0
Oslo - Blindern	SN18700	02.04.1938	0
Oslo - Blindern	SN18700	03.04.1938	4,9
Oslo - Blindern	SN18700	04.04.1938	0
