MMDD,   CLIMO,    2013,    2014,    2015,    2016,    2017,    2018,    2019,    2020,    2021,    2022,    2023,    2024,    2025
0612,  27.280,  28.733,  19.560,  22.389,  26.466,  25.848,  16.761,  25.038,  33.278,  21.116,  24.941,  46.449,  48.221,     NaN
0613,  27.472,  28.831,  18.759,  22.359,  26.233,  25.822,  16.203,  25.108,  34.168,  21.054,  24.262,  46.382,  48.661,     NaN
0614,  27.659,  27.168,     NaN,  19.110,  25.678,  25.692,  14.636,  25.261,  34.255,  21.037,  25.302,  45.671,  48.548,     NaN
0615,  27.843,  26.029,     NaN,  17.418,  27.242,  25.954,  15.283,  25.284,  34.507,  22.529,  25.028,  45.151,  48.401,     NaN
0616,  28.028,  26.051,     NaN,  17.012,  27.766,  25.786,  15.432,  25.282,  34.400,  22.985,  24.906,  44.458,  48.201,     NaN
0617,  28.217,  25.175,     NaN,  17.838,  27.996,  26.180,  16.141,  25.258,  34.125,  23.180,  25.583,  44.230,  48.525,     NaN
0618,  28.406,  25.395,  18.717,  17.732,  28.253,  26.486,  16.869,  25.171,  34.425,  23.030,  26.290,  44.392,  49.875,     NaN
0619,  28.607,  25.521,  20.865,  19.564,  27.880,  25.973,  17.754,  24.755,  33.940,  24.650,  25.683,  44.489,  50.427,     NaN
0620,  28.811,  24.903,  20.731,  18.842,  27.947,  25.334,  19.222,  23.905,  33.634,  24.482,  26.085,  44.019,  50.354,     NaN
0621,  29.018,  25.185,  20.785,  19.177,  28.507,  25.872,  20.346,  23.654,  33.392,  24.765,  26.173,  44.640,  49.592,     NaN
0622,  29.228,  25.714,  23.887,  20.023,  28.739,  25.870,  21.061,  23.545,  33.102,  25.165,  26.858,  44.153,  49.524,     NaN
0623,  29.437,  27.195,  24.814,  20.509,  27.091,  26.085,  20.577,  23.605,  32.945,  24.826,  28.689,  43.268,  50.356,     NaN
0624,  29.642,  28.108,  23.859,  22.778,  27.359,  26.740,  19.669,  23.809,  31.825,  26.131,  30.071,  43.674,  49.995,     NaN
0625,  29.846,  27.739,  24.797,  23.863,  27.109,  26.402,  18.443,  24.948,  30.691,  26.992,  30.542,  44.224,  50.092,     NaN
0626,  30.040,  28.059,  24.199,  21.468,  27.517,  25.832,  18.180,  27.388,  31.630,  27.440,  30.576,  44.585,  50.190,     NaN
0627,  30.232,  28.178,  24.672,  21.345,  28.020,  25.594,  16.783,  27.906,  32.802,  27.981,  30.669,  43.844,  50.480,     NaN
0628,  30.426,  28.426,  23.019,  21.219,  29.102,  26.340,  15.258,  28.571,  32.331,  28.066,  30.030,  44.591,  51.257,     NaN
0629,  30.624,  29.340,  23.401,  22.505,  29.538,  26.477,  14.916,  28.014,  32.484,  27.584,  29.837,  45.711,  51.840,     NaN
0630,  30.821,  29.513,  23.151,  22.224,  30.044,  27.197,  15.327,  26.252,  33.468,  27.534,  29.563,  46.261,  52.143,     NaN
0701,  31.031,  29.265,  23.172,  22.925,  30.430,  28.239,  15.804,  24.702,  35.181,  27.121,  29.803,  46.617,  51.806,     NaN
0702,  31.250,  28.890,  24.359,  24.165,  30.646,  28.762,  15.584,  24.646,  35.122,  26.735,  30.728,  47.309,  51.710,     NaN
0703,  31.481,  27.763,  25.224,  24.201,  30.018,  29.044,  17.358,  25.674,  35.968,  27.453,  31.133,  47.430,  50.336,     NaN
0704,  31.723,  29.382,  25.971,  22.445,  29.693,  30.044,  19.049,  27.056,  36.252,  28.641,  31.194,  47.606,  50.697,     NaN
