PathwaySortOrder	Biochemical	SuperPathway	SubPathway	Comp.ID	Platform	Chemical.ID	RI	MASS	PUBCHEM	CAS	KEGG	HMDB
148	phenylacetate	Amino Acid	Phenylalanine Metabolism	57745	LC/MS Neg	100000011	2150	91,0554	999	103-82-2	C07086	HMDB00209
1096	phenylacetylcarnitine	Peptide	Acetylated Peptides	48425	LC/MS Pos Early	100006108	3092	280,1543	101724840	287108-21-8		
1098	phenylacetylglutamate	Peptide	Acetylated Peptides	52925	LC/MS Neg	100009045	1570	264,0877	11579826			HMDB59772
1099	phenylacetylglutamine	Peptide	Acetylated Peptides	35126	LC/MS Neg	100001417	2330	263,1037	92258	28047-15-6	C04148	HMDB06344
133	phenylalanine	Amino Acid	Phenylalanine Metabolism	64	LC/MS Pos Early	460	2878	166,0863	6140	63-91-2	C00079	HMDB00159
144	phenyllactate (PLA)	Amino Acid	Phenylalanine Metabolism	22130	LC/MS Neg	100000774	2208	165,0557	3848	828-01-3	C05607	HMDB00779
143	phenylpyruvate	Amino Acid	Phenylalanine Metabolism	566	LC/MS Polar	241	845	163,0401	997	156-06-9	C00166	HMDB00205
1371	phosphate	Energy	Oxidative Phosphorylation	42109	LC/MS Pos Early	461	576	98,9842	1061	7664-38-2	C00009	HMDB01429
2098	phosphoethanolamine (PE)	Lipid	Phospholipid Metabolism	1600	LC/MS Pos Early	1026	700	142,0264	1015	1071-23-4	C00346	HMDB00224
264	picolinate	Amino Acid	Tryptophan Metabolism	1512	LC/MS Pos Early	1022	910	124,0393	1018	98-98-6	C10164	HMDB02243
1726	picolinoylglycine	Lipid	Fatty Acid Metabolism (Acyl Glycine)	63057	LC/MS Neg	100021198	1867	179,0462	11788622	5616-29-5		HMDB59766
1793	pimeloylcarnitine/3-methyladipoylcarnitine (C7-DC)	Lipid	Fatty Acid Metabolism (Acyl Carnitine, Dicarboxylate)	53224	LC/MS Pos Early	100009407	2773	304,1755				
124	pipecolate	Amino Acid	Lysine Metabolism	1444	LC/MS Pos Early	1025	2200	130,0863	849	4043-87-2	C00408	HMDB00070
4743	piperine	Xenobiotics	Food Component/Plant	33935	LC/MS Pos Late	100001267	1168	286,1438	638024	94-62-2	C03882	HMDB29377
5545	pivaloylcarnitine (C5)	Xenobiotics	Drug - Topical Agents	35432	LC/MS Pos Early	100001589	3005	246,17	126894	98299-38-8		HMDB41993
5244	prednisolone	Xenobiotics	Drug - Antiinflammatory, Immunosuppressant	54742	LC/MS Neg	100009252	4701	359,1864	5755		C07369,D00472	HMDB14998
5454	pregabalin	Xenobiotics	Drug - Neurological	52913	LC/MS Neg	100008943	2378	158,1187	4715169	148553-50-8		
3117	pregnanediol-3-glucuronide	Lipid	Progestin Steroids	40708	LC/MS Neg	100003470	5145	495,2963	123796	1852-49-9		HMDB10318
3094	pregnen-diol disulfate*	Lipid	Pregnenolone Steroids	32562	LC/MS Neg	100001993	3868	238,0775				
3093	pregnenediol sulfate (C21H34O5S)*	Lipid	Pregnenolone Steroids	32619	LC/MS Neg	100002067	5000	397,2054		1247-64-9		
3096	pregnenetriol disulfate*	Lipid	Pregnenolone Steroids	62921	LC/MS Neg	100021104	3504	246,0749				
3095	pregnenetriol sulfate*	Lipid	Pregnenolone Steroids	62922	LC/MS Neg	100021103	4749	413,2003				
3077	pregnenolone sulfate	Lipid	Pregnenolone Steroids	38170	LC/MS Neg	100002129	5100	395,1898	105074	1247-64-9		HMDB00774
